"","date","ID_RSSD","Name","total_interest_income","total_noninterest_income","total_interest_expense","total_noninterest_expense","chargeoffs","total_loans_and_leases","Assets"
"161",20030630,1037003,"M&T BK CORP                   ",0.0114366309816436,0.00401388056312425,0.00270431373507642,0.00795244233290796,0.083609086627236,36632382,"   50,399,108"
"162",20030630,1039502,"J P MORGAN CHASE & CO         ",0.0073147302545267,0.00648246321142947,0.00349851176200153,0.0071988607410416,0.331438963400773,219950000,"  802,627,000"
"163",20030630,1068025,"KEYCORP                       ",0.0120107744245756,0.00503898908284058,0.0038303142354826,0.00806274448161056,0.28355752067916,63030245,"   85,094,846"
"164",20030630,1068191,"HUNTINGTON BSHRS              ",0.0111960769045318,0.00951746804985598,0.00392766810371852,0.0104674542490351,0.25183025960357,19848687,"   28,342,517"
"165",20030630,1069778,"PNC FNCL SVC GROUP            ",0.0102747308712237,0.0112663469244794,0.00254289909521519,0.0138233064358761,0.188867692977989,36612932,"   67,281,081"
"166",20030630,1070345,"FIFTH THIRD BC                ",0.0119654790164664,0.00601896345562297,0.00315205662219951,0.00670002536687845,0.176797624417384,51813479,"   88,974,290"
"167",20030630,1073757,"BANK OF AMER CORP             ",0.0103460962922805,0.00560337710727932,0.00341923011418668,0.006597944041634,0.254693957774854,366322000,"  769,179,000"
"168",20030630,1074156,"BB&T CORP                     ",0.0129968739063153,0.00437064886451463,0.00425274193588086,0.0080882661336768,0.141254742625915,54380475,"   80,444,806"
"169",20030630,1111435,"STATE STREET CORP             ",0.00482489176727324,0.0106006371072719,0.00250713052937543,0.0136935645787851,0,6153310,"   83,102,175"
"170",20030630,1119794,"U S BC                        ",0.0120041662604734,0.00747669305640357,0.00277733595349386,0.00872657119841559,0.30905694843291,121531000,"  194,899,000"
"171",20030630,1132449,"CITIZENS FNCL GROUP           ",0.0110388631313751,0.00281635648634191,0.00326116722158608,0.0056610441323524,0.101029585878659,36314115,"   69,393,559"
"172",20030630,1199611,"NORTHERN TR CORP              ",0.00691507413934932,0.00981681563470828,0.00340738480848465,0.0100259476205126,0.0306040820632658,17687183,"   39,071,020"
"173",20030630,1245415,"BANKMONT FC                   ",0.00812474015598155,0.00442398529345469,0.00252002364267503,0.00748335746021569,0.15408529058352,18764932,"   39,927,800"
"174",20030630,1275216,NA,NA,NA,NA,NA,NA,NA,NA
"175",20030630,1378434,"UNIONBANCAL CORP              ",0.0102949530452468,0.00463099743302114,0.00116378830242808,0.00831279701823529,0.253264138408871,26355883,"   42,681,302"
"176",20030630,1562859,NA,NA,NA,NA,NA,NA,NA,NA
"177",20030630,1574834,NA,NA,NA,NA,NA,NA,NA,NA
"178",20030630,1575569,NA,NA,NA,NA,NA,NA,NA,NA
"179",20030630,1951350,"CITIGROUP                     ",0.0118682262949281,0.00800987333987625,0.00373956959988543,0.00915137295867434,0.543402892601656,468713000,"1,187,035,000"
"180",20030630,2162966,NA,NA,NA,NA,NA,NA,NA,NA
"181",20030630,2277860,NA,NA,NA,NA,NA,NA,NA,NA
"182",20030630,2380443,NA,NA,NA,NA,NA,NA,NA,NA
"183",20030630,2816906,"TAUNUS CORP                   ",0.00633216902768187,0.00370074886530481,0.00532653074906643,0.00443151268109869,0.429352068696331,20496000,"  298,318,000"
"184",20030630,3232316,NA,NA,NA,NA,NA,NA,NA,NA
"185",20030630,3242838,NA,NA,NA,NA,NA,NA,NA,NA
"186",20030630,3587146,NA,NA,NA,NA,NA,NA,NA,NA
"187",20030630,3606542,NA,NA,NA,NA,NA,NA,NA,NA
"188",20030630,3846375,NA,NA,NA,NA,NA,NA,NA,NA
"189",20030630,3981856,NA,NA,NA,NA,NA,NA,NA,NA
"190",20030630,4846998,NA,NA,NA,NA,NA,NA,NA,NA
"191",20030630,5006575,NA,NA,NA,NA,NA,NA,NA,NA
"192",20030630,5280254,NA,NA,NA,NA,NA,NA,NA,NA
"193",20030930,1037003,"M&T BK CORP                   ",0.0112246731941126,0.00459079119444039,0.00247648877684893,0.00787110168900852,0.0725467550819871,36952721,"   50,258,657"
"194",20030930,1039502,"J P MORGAN CHASE & CO         ",0.0071854414076199,0.0057221141546636,0.0033404229015761,0.00635159717123704,0.30230560654799,237508000,"  792,714,000"
"195",20030930,1068025,"KEYCORP                       ",0.011560295329191,0.00545453035081838,0.00351503652198055,0.00827415492548076,0.251898537013793,63078175,"   84,025,016"
"196",20030930,1068191,"HUNTINGTON BSHRS              ",0.0110570422232921,0.009190328743659,0.00355456108962752,0.00996201953101183,0.20206989336085,21408929,"   30,145,494"
"197",20030930,1069778,"PNC FNCL SVC GROUP            ",0.00971184780648402,0.0118761134475081,0.00242723040208641,0.0121435912504754,0.201193201126952,35864532,"   68,689,812"
"198",20030930,1070345,"FIFTH THIRD BC                ",0.0115747513903787,0.00688590575521702,0.00277398605937139,0.00709968930206533,0.171593546040978,53994455,"   89,422,223"
"199",20030930,1073757,"BANK OF AMER CORP             ",0.0104961767320049,0.00619864709913357,0.00345756409995454,0.00688934573605542,0.259548040345745,375653000,"  736,935,000"
"200",20030930,1074156,"BB&T CORP                     ",0.0121755469414226,0.00599432710812086,0.00323591984069074,0.0123691178829309,0.121461911730651,61588781.2444444,"   90,355,131"
"201",20030930,1111435,"STATE STREET CORP             ",0.00444832753327952,0.0113516148407843,0.00197065929554262,0.0100386083011137,0,7251203,"   81,775,678"
"202",20030930,1119794,"U S BC                        ",0.0122948605925808,0.00788307252363174,0.00263245690682342,0.00742447109910769,0.30022018289645,124442000,"  188,835,000"
"203",20030930,1132449,"CITIZENS FNCL GROUP           ",0.0105830046513926,0.00269975043178114,0.00293952271531454,0.00558424659678515,0.103445812523496,39251468,"   72,764,874"
"204",20030930,1199611,"NORTHERN TR CORP              ",0.00624673618845519,0.00960697260223104,0.00295183429614214,0.00853184911888102,0.033649033692852,17572570,"   40,744,157"
"205",20030930,1245415,"BANKMONT FC                   ",0.00797981667571106,0.00503945217969173,0.00228941248951072,0.00861785841364363,0.176297602798438,18706437,"   39,348,523"
"206",20030930,1275216,NA,NA,NA,NA,NA,NA,NA,NA
"207",20030930,1378434,"UNIONBANCAL CORP              ",0.0105090031935314,0.00477518082414583,0.00100638466864559,0.00815923876148235,0.204585436019104,26169507,"   42,602,994"
"208",20030930,1562859,NA,NA,NA,NA,NA,NA,NA,NA
"209",20030930,1574834,NA,NA,NA,NA,NA,NA,NA,NA
"210",20030930,1575569,NA,NA,NA,NA,NA,NA,NA,NA
"211",20030930,1951350,"CITIGROUP                     ",0.0114589597517791,0.00771347720243556,0.00321608572258117,0.00887318712606179,0.54592164418754,470214000,"1,208,923,000"
"212",20030930,2162966,NA,NA,NA,NA,NA,NA,NA,NA
"213",20030930,2277860,NA,NA,NA,NA,NA,NA,NA,NA
"214",20030930,2380443,NA,NA,NA,NA,NA,NA,NA,NA
"215",20030930,2816906,"TAUNUS CORP                   ",0.00579702428294271,0.00339768185584644,0.00471548990179668,0.00501499173042173,0.403391221113086,29252000,"  300,499,000"
"216",20030930,3232316,NA,NA,NA,NA,NA,NA,NA,NA
"217",20030930,3242838,NA,NA,NA,NA,NA,NA,NA,NA
"218",20030930,3587146,NA,NA,NA,NA,NA,NA,NA,NA
"219",20030930,3606542,NA,NA,NA,NA,NA,NA,NA,NA
"220",20030930,3846375,NA,NA,NA,NA,NA,NA,NA,NA
"221",20030930,3981856,NA,NA,NA,NA,NA,NA,NA,NA
"222",20030930,4846998,NA,NA,NA,NA,NA,NA,NA,NA
"223",20030930,5006575,NA,NA,NA,NA,NA,NA,NA,NA
"224",20030930,5280254,NA,NA,NA,NA,NA,NA,NA,NA
"225",20031231,1037003,"M&T BK CORP                   ",0.011048430909378,0.00447775429316319,0.00241058280050055,0.00741900892178965,0.111107694763401,36361118,"   49,823,636"
"226",20031231,1039502,"J P MORGAN CHASE & CO         ",0.00728210436472265,0.00652198445775303,0.00337643706116371,0.00676454831885084,0.247838991312637,230795000,"  770,931,000"
"227",20031231,1068025,"KEYCORP                       ",0.0113558820731785,0.00551882061960073,0.00337311040716811,0.00831620021371181,0.240164140720305,62563878,"   84,146,964"
